Wall time,Step,Value
1694434828.4202325,7756,2.055321455001831
1694434838.6724405,7794,2.0481276512145996
1694434838.8487415,7795,2.368197441101074
1694434843.7538514,7821,1.8680055141448975
1694434846.822754,7838,2.407742500305176
1694434854.413839,7855,2.0894558429718018
1694434872.2224226,7895,1.9307061433792114
1694434873.4519637,7901,1.8765807151794434
1694434878.733967,7929,1.7228647470474243
1694434889.5744073,7986,1.7456114292144775
1694434910.9258885,8046,1.8899078369140625
1694434926.4451642,8078,1.6906092166900635
1694434938.8524547,8122,2.0767226219177246
1694434950.1903589,8144,1.4600313901901245
1694434959.8651385,8164,2.3732869625091553
1694434967.605675,8192,2.0821516513824463
1694434971.985066,8216,1.8380084037780762
1694434974.3597512,8229,2.395799398422241
1694434982.709913,8277,1.9728410243988037
1694434985.1950302,8291,2.107316017150879
1694434986.1975367,8296,1.6745750904083252
1694434997.2607741,8352,1.848008394241333
1694434999.2107174,8363,2.103398323059082
1694435001.8379884,8377,1.953063726425171
1694435006.0350044,8397,1.738000750541687
1694435009.8757353,8411,2.490156888961792
1694435024.6574576,8491,1.4986821413040161
1694435035.4498603,8548,1.8342591524124146
1694435036.6169393,8554,2.1303579807281494
1694435038.3068929,8563,1.6732378005981445
1694435049.026675,8618,2.8960864543914795
1694435050.7768672,8627,1.9123709201812744
1694435057.0625029,8659,2.002964973449707
1694435057.9047012,8663,1.8773729801177979
1694435063.9065583,8694,2.061136484146118
1694435065.063136,8700,2.176941156387329
1694435069.0690365,8718,2.3061423301696777
1694435070.2163815,8724,2.3358664512634277
1694435075.5317886,8752,1.7849637269973755
1694435075.909041,8754,1.9645367860794067
1694435080.1266296,8776,1.5775954723358154
1694435080.5171566,8778,2.0626416206359863
1694435089.150232,8823,1.4418091773986816
1694435091.0799925,8833,2.510647773742676
1694435097.1619837,8865,1.9067714214324951
1694435098.1323714,8870,2.2541162967681885
1694435099.532098,8877,2.1255369186401367
1694435135.1025648,8917,2.358792304992676
1694435135.8562102,8921,1.5800440311431885
1694435148.0288477,8985,2.1332907676696777
1694435151.9885638,9006,1.5603892803192139
1694435157.275512,9033,1.759545087814331
1694435162.0083382,9058,2.1570205688476562
1694435174.0408194,9121,2.302044153213501
1694435180.1118982,9152,2.0801403522491455
1694435191.7763405,9212,2.5943143367767334
1694435199.3734174,9252,1.8604555130004883
1694435207.0890255,9291,2.3590078353881836
1694435209.4095318,9303,1.9105703830718994
1694435209.7970767,9305,2.0101962089538574
1694435211.108113,9312,1.623147964477539
1694435213.93302,9327,1.9228475093841553
1694435217.3181632,9345,2.1433022022247314
1694435219.9992535,9359,1.890029788017273
1694435222.5364625,9372,1.8514325618743896
1694435223.7246995,9377,1.9029548168182373
1694435225.6541393,9387,2.419539451599121
1694435251.070658,9456,2.047499179840088
1694435281.6013532,9538,1.401564359664917
1694435283.6999447,9547,2.274988889694214
1694435288.2448182,9566,2.0976521968841553
1694435294.8348575,9593,1.8866549730300903
1694435314.5858662,9671,1.8002711534500122
1694435314.8251846,9672,2.276191234588623
1694435319.7573035,9692,1.2650376558303833
1694435322.7771645,9704,1.972243070602417
1694435324.9931707,9712,1.786461591720581
1694435335.688858,9753,2.0240836143493652
1694435335.9353833,9754,1.2687994241714478
1694435340.810762,9772,1.838180661201477
1694435351.9330153,9813,2.0867838859558105
1694435354.2898824,9824,2.264246940612793
1694435357.129977,9837,2.2408499717712402
1694435359.6772246,9850,2.1276302337646484
1694435363.1994472,9867,1.9649614095687866
1694435368.7797408,9894,1.8648571968078613
1694435370.7846036,9904,1.2048592567443848
1694435373.5892723,9917,2.0433502197265625
1694435379.9351962,9948,0.7838767766952515
1694435380.1633093,9949,1.6972931623458862
1694435380.3664873,9950,1.9741145372390747
1694435382.3645308,9960,1.7651821374893188
1694435384.9572027,9973,2.194692611694336
1694435386.1430852,9979,2.0063257217407227
1694435388.8798492,9993,1.9512624740600586
1694435402.8059103,10063,1.6143232583999634
1694435408.0952992,10090,2.111387252807617
1694435414.2786999,10121,2.0257599353790283
1694435417.8865328,10138,1.9040942192077637
1694435428.2289288,10191,1.7764744758605957
1694435431.5472863,10208,3.040900468826294
1694435432.8978996,10215,2.022246837615967
1694435466.371442,10269,2.1718735694885254
1694435469.2093172,10280,1.9283264875411987
1694435491.899705,10342,2.047309637069702
1694435493.0130942,10345,2.069417953491211
1694435493.2964275,10346,2.5746004581451416
1694435507.3595405,10395,2.2213737964630127
1694435521.0063555,10445,1.8213461637496948
1694435522.7152596,10451,2.1458802223205566
1694435522.9265215,10452,2.1233887672424316
1694435524.2773354,10458,1.856764793395996
1694435536.4446006,10501,2.0149405002593994
1694435540.39709,10518,2.1679723262786865
1694435549.905135,10561,2.043743133544922
1694435552.4769983,10573,1.7198163270950317
1694435561.1451278,10596,2.179518461227417
1694435577.0915174,10633,1.945725440979004
1694435581.010172,10643,1.7728643417358398
1694435581.7448592,10645,1.8367440700531006
1694435607.0855753,10707,2.5961735248565674
1694435611.9951868,10717,1.9431571960449219
1694435619.6855035,10724,1.7471203804016113
1694435647.8048666,10771,2.0605945587158203
1694435672.9761076,10842,1.8546802997589111
1694435738.0865178,10976,1.6489466428756714
1694435757.2654333,11023,0.9674893021583557
1694435758.7633808,11028,1.8090647459030151
1694435761.2414732,11036,1.9842644929885864
1694435768.2415698,11054,1.9521071910858154
1694435785.703159,11094,1.8817040920257568
1694435792.5405083,11118,1.9293323755264282
1694435794.184681,11124,2.343320369720459
1694435794.4884794,11125,1.745940923690796
1694435805.8554347,11159,1.6022981405258179
1694435810.2899797,11170,2.1901161670684814
1694435824.633056,11212,1.7828978300094604
1694435826.5917683,11218,2.0571107864379883
1694435829.3595445,11226,2.2426700592041016
1694435868.381683,11330,1.69322669506073
1694435868.7987533,11331,1.8611652851104736
1694435891.1870868,11394,2.2092862129211426
1694435900.1646497,11404,2.4165163040161133
1694435903.5939126,11409,2.185709238052368
1694435915.6159914,11443,2.0733940601348877
1694435917.0839312,11448,2.0697929859161377
1694435921.1434937,11461,2.1158597469329834
1694435921.743285,11463,1.462388038635254
1694435946.3329709,11526,1.6701735258102417
1694435964.425567,11578,1.9444845914840698
1694435978.5562181,11611,2.9980788230895996
1694436009.3176765,11696,2.00179123878479
1694436021.8549592,11736,2.168612241744995
1694436031.0254445,11756,2.262821674346924
1694436034.3717816,11765,2.158651828765869
1694436040.7335117,11786,2.454793930053711
1694436052.655342,11817,1.8018605709075928
1694436053.2124033,11819,1.943498134613037
1694436054.4622383,11823,1.860051155090332
1694436061.0432253,11844,1.8353909254074097
1694436062.5318525,11847,2.0923452377319336
1694436110.370731,11851,1.8507590293884277
1694436116.0471964,11867,1.751267671585083
1694436119.0414367,11876,1.9711220264434814
1694436120.695974,11882,1.6989376544952393
1694436146.6754088,11955,1.975380301475525
1694436152.7981973,11972,2.0243825912475586
1694436173.164385,12027,1.8912177085876465
1694436190.7474308,12076,1.984684705734253
1694436225.5222912,12175,1.8974498510360718
1694436226.90173,12179,1.0146245956420898
1694436246.742665,12235,2.117997407913208
1694436257.4089456,12271,1.7548925876617432
1694436266.124538,12302,2.0456764698028564
1694436266.6662984,12304,1.7499538660049438
1694436269.8795595,12316,1.7760446071624756
1694436281.437924,12354,1.367404818534851
1694436294.0511627,12394,1.8626110553741455
1694436295.7529829,12398,2.682537317276001
1694436296.4950197,12400,1.7382259368896484
1694436307.7942617,12421,1.522487759590149
1694436307.9937139,12422,1.7953996658325195
1694436312.9942436,12437,1.8274810314178467
1694436316.5654824,12449,2.2994587421417236
1694436325.9773147,12476,1.628352403640747
1694436326.5485945,12478,1.7400848865509033
1694436327.1510565,12480,1.8931293487548828
1694436349.2334251,12554,2.1208717823028564
1694436366.3118849,12601,2.0517609119415283
1694436380.6242208,12648,1.8218460083007812
1694436410.3990781,12708,1.9845725297927856
1694436427.7739108,12782,1.4895540475845337
1694436429.5176802,12791,1.4881303310394287
1694436458.4891117,12901,2.764008045196533
1694436459.2317562,12905,1.8488943576812744
1694436463.4877663,12922,1.8134359121322632
1694436469.1665196,12944,2.439608573913574
1694436475.7486231,12972,1.6980500221252441
1694436476.4748437,12976,1.433423399925232
1694436480.1997545,12997,1.850614070892334
1694436482.995436,13010,1.812578797340393
1694436488.1552143,13024,1.8471801280975342
1694436490.5373304,13036,2.0182111263275146
1694436490.7210934,13037,1.8102368116378784
1694436493.0006144,13048,1.0223788022994995
1694436504.0373056,13092,1.506587028503418
1694436526.252986,13188,1.910817265510559
1694436533.620266,13227,1.6152840852737427
1694436538.604618,13250,1.7816729545593262
1694436541.7859209,13261,1.3964455127716064
1694436553.49633,13304,1.202789545059204
1694436561.5766685,13349,1.8830626010894775
1694436568.7825053,13388,1.6080747842788696
1694436574.04513,13418,2.433438301086426
1694436580.768074,13455,2.43129301071167
1694436592.7090566,13522,1.8160009384155273
1694436601.2080672,13550,2.3318769931793213
1694436602.6567996,13558,1.8612349033355713
1694436608.1633925,13588,1.2001752853393555
1694436618.3256974,13623,1.9412380456924438
1694436621.8489373,13642,2.0121030807495117
1694436622.2919147,13644,1.8909320831298828
1694436622.844995,13647,1.8035945892333984
1694436626.4300468,13660,1.5388033390045166
1694436639.1010199,13716,1.490235686302185
1694436643.0697916,13736,2.0456647872924805
1694436657.4218736,13802,2.0532259941101074
1694436664.4193783,13831,1.628244161605835
1694436668.103689,13849,2.0116732120513916
1694436678.808918,13890,1.2599736452102661
1694436694.6392071,13916,1.8243448734283447
1694436715.2280447,13971,1.4581176042556763
1694436719.0194504,13980,1.9930065870285034
1694436729.6466932,14006,1.3346285820007324
1694436749.814955,14046,1.6336241960525513
1694436778.2594073,14102,1.8327879905700684
1694436782.983907,14113,1.9839870929718018
1694436785.696292,14127,1.7533948421478271
1694436791.0926342,14158,1.9905972480773926
1694436794.3398383,14177,1.8082536458969116
1694436796.3255768,14188,2.4567301273345947
1694436797.3773298,14194,2.1001956462860107
1694436799.7388453,14206,1.9650685787200928
1694436802.726312,14223,1.566531777381897
1694436808.867446,14258,1.7438256740570068
1694436810.075883,14265,2.0656304359436035
1694436824.5330362,14349,1.6468019485473633
1694436825.3992965,14354,1.374798059463501
1694436826.6185446,14361,2.2297496795654297
